Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
"Equatorial Guinea, Rep. of",0.939,0.492,0.65,0.967,0.581,0.362,0.375,0.631,0.851,0.742,0.773,0.656,0.815,0.685,0.824,0.979,0.677,0.583,0.769,0.856,0.849,1.462,1.308,0.839,1.602,1.479,1.195,1.247
"Eritrea, The State of",0.417,0.097,0.27,0.442,0.822,0.561,0.498,1.077,0.666,1.127,0.798,0.928,0.275,1.097,1.759,1.644,1.478,1.476,1.186,0.985,1.814,0.99,1.309,0.976,0.907,1.0142,1.49,0.53
"Estonia, Rep. of",1.748,-0.35,0.932,0.542,1.524,2.066,1.838,1.483,0.234,1.184,1.597,1.262,2.269,2.607,1.622,0.554,1.299,1.47,1.183,2.447,2.377,1.936,1.502,2.413,2.218,3.625,2.167,1.961
"Eswatini, Kingdom of",0.585,-0.042,0.235,0.991,0.505,-0.061,0.517,0.601,0.715,0.525,1.153,0.365,1.133,0.64,0.383,1.287,0.897,0.696,0.566,0.781,1.235,1.216,0.688,1.064,1.623,0.77,0.669,1.371
"Ethiopia, The Federal Dem. Rep. of",0.718,0.689,0.619,0.772,0.305,0.565,0.729,1.031,1.092,0.834,1.092,1.003,0.88,0.832,1.339,1.276,1.174,1.104,1.229,1.187,1.442,1.532,1.496,0.986,1.32,1.343,1.516,1.455
Falkland Islands (Malvinas),0.6282535885167464,0.278866028708134,0.5434514563106796,0.9711483253588516,0.7431105769230769,0.6695096153846153,0.850231884057971,0.9245450236966825,0.844,0.7772028301886792,0.8518436018957345,0.8760093457943926,1.02175,0.8078104265402842,0.910345971563981,1.0984813084112148,0.8209305555555554,0.9014205607476635,0.9308046511627907,1.1151023255813954,1.2691116279069767,1.4384811320754716,1.2800892018779342,1.3021698113207547,1.4430566037735848,1.5512843601895736,1.3430424528301887,1.3820566037735849
Faroe Islands,-0.31,0.202,0.755,0.553,0.469,0.188,0.461,1.034,1.604,1.019,0.487,1.136,0.952,0.89,1.441,0.26,1.055,0.359,0.597,1.764,0.813,0.803,1.49,0.831,0.877,0.839,1.012,1.396
"Fiji, Rep. of",0.385,0.445,0.152,0.765,0.538,0.706,0.728,0.72,0.581,0.526,0.698,0.636,1.032,0.584,0.409,0.978,0.898,0.589,0.916,0.646,0.517,0.97,1.127,0.953,1.065,1.237,1.075,1.346
Finland,1.701,0.137,0.783,0.071,1.159,2.024,1.365,1.171,0.713,1.233,2.201,1.204,1.946,2.13,1.695,0.242,1.354,1.54,1.424,2.591,2.613,2.151,1.487,2.157,1.452,3.317,1.938,2.062
France,1.326,0.188,1.24,0.947,1.199,1.175,1.391,1.054,1.8,0.969,1.02,1.306,1.407,0.992,1.212,0.395,1.534,1.22,0.714,2.049,1.612,1.794,1.796,2.06,2.023,2.551,1.337,2.929
French Polynesia,0.582,0.188,0.335,0.633,0.456,0.329,0.502,0.796,0.703,0.531,0.672,0.841,0.85,0.357,0.8,0.76,0.214,0.722,0.536,0.616,0.681,1.127,0.901,0.631,0.857,0.829,0.791,0.359
Gabon,0.582,0.104,0.292,1.119,0.589,0.307,0.286,0.662,0.893,0.831,0.808,0.737,0.926,0.782,0.824,1.08,0.657,0.615,0.794,0.805,1.024,1.505,1.353,1.026,1.534,1.377,1.063,0.994
"Gambia, The",0.878,1.122,1.323,1.555,0.75,0.958,1.316,1.38,1.103,1.188,1.498,1.221,1.09,1.376,0.688,1.324,1.06,0.89,1.001,1.188,1.2,1.635,1.741,1.028,1.349,1.77,1.675,1.323
Georgia,0.748,0.189,0.266,1.26,1.229,0.967,1.286,1.06,-0.239,0.923,0.542,1.277,0.908,0.699,0.714,2.486,0.432,1.22,1.401,1.277,1.78,1.365,0.809,2.51,1.753,2.006,1.65,1.51
Germany,1.307,-0.699,0.558,1.153,1.367,1.764,1.292,1.491,1.258,0.998,1.025,1.254,2.088,1.542,1.282,0.196,1.121,1.349,0.583,2.519,1.674,1.988,1.653,2.393,2.332,2.516,1.325,2.596
Ghana,0.695,0.657,0.502,1.14,0.564,0.43,0.565,0.825,0.988,0.739,0.967,0.991,0.946,0.698,0.884,1.276,0.883,0.614,0.841,0.887,1.132,1.217,1.292,1.081,1.32,1.284,1.494,0.996
